Latitude,Longitude,Speed,Address,Distance,Calculated Speed,Map Location,Map Address
2009-02-01 19:55:32,44.612298,-75.687596,0,"1981 Parkedale Ave, Brockville, ON K6V 0B4, Canada",0,0,"https://www.google.com/maps/place/44.612298,-75.687596",https://www.google.com/maps/place/1981+Parkedale+Ave%2C+Brockville%2C+ON+K6V+0B4%2C+Canada
2009-02-01 19:55:33,44.612414,-75.687896,0,"1266 Parkedale Ave, Brockville, ON K6V 7N4, Canada",0.027054275933484497,97.39539336054419,"https://www.google.com/maps/place/44.612414,-75.687896",https://www.google.com/maps/place/1266+Parkedale+Ave%2C+Brockville%2C+ON+K6V+7N4%2C+Canada
2009-02-01 19:55:34,44.612443,-75.687958,0,"1266 Parkedale Ave, Brockville, ON K6V 7N4, Canada",0.00587889345387101,21.164016433935636,"https://www.google.com/maps/place/44.612443,-75.687958",https://www.google.com/maps/place/1266+Parkedale+Ave%2C+Brockville%2C+ON+K6V+7N4%2C+Canada
2009-02-01 19:55:35,44.612443,-75.68796,0,"1266 Parkedale Ave, Brockville, ON K6V 7N4, Canada",0.000158490801067796,0.5705668838440656,"https://www.google.com/maps/place/44.612443,-75.68796",https://www.google.com/maps/place/1266+Parkedale+Ave%2C+Brockville%2C+ON+K6V+7N4%2C+Canada
2009-02-01 19:55:38,44.612441,-75.687968,0,"1266 Parkedale Ave, Brockville, ON K6V 7N4, Canada",0.000671920732044149,0.8063048784529789,"https://www.google.com/maps/place/44.612441,-75.687968",https://www.google.com/maps/place/1266+Parkedale+Ave%2C+Brockville%2C+ON+K6V+7N4%2C+Canada
2009-02-01 19:55:39,44.612441,-75.68797,0,"1266 Parkedale Ave, Brockville, ON K6V 7N4, Canada",0.00015849080652582674,0.5705669034929762,"https://www.google.com/maps/place/44.612441,-75.68797",https://www.google.com/maps/place/1266+Parkedale+Ave%2C+Brockville%2C+ON+K6V+7N4%2C+Canada
2009-02-01 19:55:40,44.612441,-75.687971,0,"1266 Parkedale Ave, Brockville, ON K6V 7N4, Canada",7.924540269984087e-05,0.28528344971942715,"https://www.google.com/maps/place/44.612441,-75.687971",https://www.google.com/maps/place/1266+Parkedale+Ave%2C+Brockville%2C+ON+K6V+7N4%2C+Canada
2009-02-01 19:57:00,44.612475,-75.688044,0,"1266 Parkedale Ave, Brockville, ON K6V 7N4, Canada",0.00691306015624981,0.31108770703124144,"https://www.google.com/maps/place/44.612475,-75.688044",https://www.google.com/maps/place/1266+Parkedale+Ave%2C+Brockville%2C+ON+K6V+7N4%2C+Canada
2009-02-01 19:57:01,44.612475,-75.688044,0,"1266 Parkedale Ave, Brockville, ON K6V 7N4, Canada",0.0,False,"https://www.google.com/maps/place/44.612475,-75.688044",https://www.google.com/maps/place/1266+Parkedale+Ave%2C+Brockville%2C+ON+K6V+7N4%2C+Canada
2009-02-01 19:57:02,44.612475,-75.688046,0,"1266 Parkedale Ave, Brockville, ON K6V 7N4, Canada",0.0001584907126131342,0.5705665654072831,"https://www.google.com/maps/place/44.612475,-75.688046",https://www.google.com/maps/place/1266+Parkedale+Ave%2C+Brockville%2C+ON+K6V+7N4%2C+Canada
2009-02-01 19:57:03,44.612476,-75.688046,0,"1266 Parkedale Ave, Brockville, ON K6V 7N4, Canada",0.00011131949051221888,0.400750165843988,"https://www.google.com/maps/place/44.612476,-75.688046",https://www.google.com/maps/place/1266+Parkedale+Ave%2C+Brockville%2C+ON+K6V+7N4%2C+Canada
2009-02-01 19:57:31,44.612476,-75.688039,0,"1266 Parkedale Ave, Brockville, ON K6V 7N4, Canada",0.0005547174857205544,0.0713208195926427,"https://www.google.com/maps/place/44.612476,-75.688039",https://www.google.com/maps/place/1266+Parkedale+Ave%2C+Brockville%2C+ON+K6V+7N4%2C+Canada
2009-02-01 19:57:32,44.612453,-75.687968,3,"1266 Parkedale Ave, Brockville, ON K6V 7N4, Canada",0.006181585584227236,22.25370810321805,"https://www.google.com/maps/place/44.612453,-75.687968",https://www.google.com/maps/place/1266+Parkedale+Ave%2C+Brockville%2C+ON+K6V+7N4%2C+Canada
